
2025/01/24 (01:29:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (01:29:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/24 (01:43:11) | ===> btop++ v.1.4.0
2025/01/24 (01:43:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (01:43:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/24 (01:43:24) | ===> btop++ v.1.4.0
2025/01/24 (01:43:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (01:43:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/24 (02:50:25) | ===> btop++ v.1.4.0
2025/01/24 (02:50:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/24 (02:50:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/29 (15:02:12) | ===> btop++ v.1.4.0
2025/01/29 (15:02:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/29 (15:02:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/02 (22:35:48) | ===> btop++ v.1.4.0
2025/02/02 (22:35:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/02 (22:35:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/02 (22:36:15) | ===> btop++ v.1.4.0
2025/02/02 (22:36:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/02 (22:36:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/02 (23:14:47) | ===> btop++ v.1.4.0
2025/02/02 (23:14:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/02 (23:14:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/03 (23:31:50) | ===> btop++ v.1.4.0
2025/02/03 (23:31:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/03 (23:31:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/03 (23:32:34) | ===> btop++ v.1.4.0
2025/02/03 (23:32:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/03 (23:32:34) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/05 (21:04:36) | ===> btop++ v.1.4.0
2025/02/05 (21:04:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/05 (21:04:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/05 (21:06:09) | ===> btop++ v.1.4.0
2025/02/05 (21:06:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/05 (21:06:09) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/05 (21:19:50) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/05 (21:19:50) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/02/05 (21:19:50) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/02/05 (21:19:50) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/05 (21:19:50) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/02/05 (21:20:49) | ===> btop++ v.1.4.0
2025/02/05 (21:20:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/05 (21:20:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/09 (05:30:01) | ===> btop++ v.1.4.0
2025/02/09 (05:30:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/09 (05:30:01) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/09 (06:22:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/09 (06:22:37) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/02/09 (06:22:37) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/02/09 (06:22:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/09 (06:22:37) | WARNING: ROCm SMI: Failed to get GPU temperature
2025/02/09 (06:22:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/09 (06:22:38) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/02/09 (06:22:38) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/02/09 (06:22:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/09 (06:22:38) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/02/09 (06:23:07) | ===> btop++ v.1.4.0
2025/02/09 (06:23:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/09 (06:23:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/09 (06:24:21) | ===> btop++ v.1.4.0
2025/02/09 (06:24:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/09 (06:24:21) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/09 (06:36:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/09 (06:36:13) | WARNING: ROCm SMI: Failed to get GPU clock speed: 
2025/02/09 (06:36:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/02/09 (06:36:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/09 (06:36:13) | WARNING: ROCm SMI: Failed to get GPU temperature

2025/02/10 (01:11:54) | ===> btop++ v.1.4.0
2025/02/10 (01:11:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/10 (01:11:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/10 (23:03:38) | ===> btop++ v.1.4.0
2025/02/10 (23:03:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/10 (23:03:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/11 (03:27:49) | ===> btop++ v.1.4.0
2025/02/11 (03:27:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/11 (03:27:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/12 (11:01:32) | ===> btop++ v.1.4.0
2025/02/12 (11:01:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/12 (11:01:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/12 (22:25:57) | ===> btop++ v.1.4.0
2025/02/12 (22:25:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/12 (22:25:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/12 (22:39:45) | ===> btop++ v.1.4.0
2025/02/12 (22:39:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/12 (22:39:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/12 (22:48:02) | ===> btop++ v.1.4.0
2025/02/12 (22:48:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/12 (22:48:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (01:52:07) | ===> btop++ v.1.4.0
2025/02/14 (01:52:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (01:52:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (02:00:45) | ===> btop++ v.1.4.0
2025/02/14 (02:00:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (02:00:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (02:07:23) | ===> btop++ v.1.4.0
2025/02/14 (02:07:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (02:07:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (00:30:27) | ===> btop++ v.1.4.0
2025/02/15 (00:30:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (00:30:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (03:56:25) | ===> btop++ v.1.4.0
2025/02/15 (03:56:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (03:56:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (20:57:20) | ===> btop++ v.1.4.0
2025/02/15 (20:57:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
